;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
2744;2745.0;163.0;;10000.0;15.5;12.0;4.0;34.83;17.2;108.42;0.24;0.19;0.12;154.9935;12826.04;0.77;27.533361;155000.0
2745;2746.0;163.0;;11000.0;15.5;12.0;4.0;41.16;19.33;110.74;0.2;0.19;0.12;183.162;14414.381;0.77;33.04003;170500.0
2746;2747.0;163.0;;12000.0;15.5;12.0;4.0;47.95;21.5;112.91;0.17;0.18;0.12;213.3775;16032.55;0.77;35.842632;186000.0
2747;2858.0;172.0;;7000.0;15.0;11.0;2.0;9.31;3.09;27.83;0.15;0.12;0.11;41.4295;2304.213;0.73;22.111626;105000.0
2748;2859.0;172.0;;8000.0;15.0;11.0;2.0;12.25;4.97;39.12;0.16;0.12;0.11;54.5125;3706.129;0.73;20.729649;120000.0
2749;2860.0;172.0;;9000.0;15.0;11.0;2.0;15.09;5.62;39.36;0.13;0.12;0.11;67.1505;4190.834;0.73;25.513414;135000.0
2750;2864.0;173.0;;1000.0;15.0;12.0;2.0;0.18;0.01;0.22;0.06;0.11;0.11;0.801;7.457;0.8;48.5152;15000.0
2751;2865.0;173.0;;2000.0;15.0;12.0;2.0;0.7;0.03;0.87;0.06;0.11;0.11;3.115;22.371;0.8;48.5152;30000.0
2752;2866.0;173.0;;3000.0;15.0;12.0;2.0;1.58;0.09;1.8;0.05;0.11;0.11;7.031;67.113;0.8;58.218243;45000.0
2753;2867.0;173.0;;4000.0;15.0;12.0;2.0;2.81;0.21;3.35;0.05;0.11;0.11;12.5045;156.597;0.8;58.218243;60000.0
2754;2868.0;173.0;;5000.0;15.0;12.0;2.0;4.55;0.75;9.46;0.1;0.11;0.11;20.2475;559.275;0.8;29.109121;75000.0
2755;2869.0;173.0;;6000.0;15.0;12.0;2.0;6.77;1.81;19.0;0.14;0.12;0.11;30.1265;1349.717;0.8;23.691027;90000.0
2756;2757.0;164.0;;10000.0;15.5;12.0;2.0;20.34;5.52;34.76;0.08;0.11;0.12;90.513;4116.264;0.77;36.386402;155000.0
2757;2758.0;164.0;;11000.0;15.5;12.0;2.0;24.1;4.86;27.87;0.05;0.11;0.12;107.245;3624.102;0.77;58.218243;170500.0
2758;2759.0;164.0;;12000.0;15.5;12.0;2.0;29.0;9.28;48.75;0.07;0.11;0.12;129.05;6920.096;0.77;41.584457;186000.0
2759;2760.0;164.0;;13000.0;15.5;12.0;2.0;34.57;16.51;80.02;0.1;0.11;0.12;153.8365;12311.507;0.77;29.109121;201500.0
2760;2761.0;164.0;;13999.0;15.5;12.0;2.0;39.85;17.47;78.67;0.09;0.11;0.12;177.3325;13027.379;0.77;32.343468;216984.5
2761;2870.0;173.0;;7000.0;15.0;12.0;2.0;9.47;3.63;32.65;0.17;0.12;0.11;42.1415;2706.891;0.8;19.510258;105000.0
2762;2871.0;173.0;;8000.0;15.0;12.0;2.0;12.47;5.81;45.79;0.19;0.12;0.11;55.4915;4332.517;0.8;17.456547;120000.0
2763;2872.0;173.0;;9000.0;15.0;12.0;2.0;15.28;6.48;45.37;0.15;0.12;0.11;67.996;4832.136;0.8;22.111626;135000.0
2764;2878.0;174.0;F;1000.0;15.0;12.0;2.0;0.17;0.01;0.19;0.05;0.11;0.11;0.7565;7.457;0.8;58.218243;15000.0
2765;2879.0;174.0;F;2000.0;15.0;12.0;2.0;0.7;0.02;0.76;0.05;0.11;0.11;3.115;14.914;0.8;58.218243;30000.0
2766;2880.0;174.0;F;3000.0;15.0;12.0;2.0;1.58;0.08;1.65;0.05;0.11;0.11;7.031;59.656;0.8;58.218243;45000.0
2767;2881.0;174.0;F;4000.0;15.0;12.0;2.0;2.8;0.17;2.76;0.04;0.11;0.11;12.46;126.769;0.8;72.772804;60000.0
2768;2882.0;174.0;F;5000.0;15.0;12.0;2.0;4.45;0.47;5.96;0.06;0.11;0.11;19.8025;350.479;0.8;48.5152;75000.0
2769;2883.0;174.0;F;6000.0;15.0;12.0;2.0;6.55;1.11;11.61;0.08;0.11;0.11;29.1475;827.727;0.8;36.386402;90000.0
2770;2771.0;165.0;W;10000.0;15.5;12.5;2.0;21.56;4.11;25.9;0.06;0.12;0.12;95.942;3064.827;0.81;55.279064;155000.0
2771;2772.0;165.0;W;11000.0;15.5;12.5;2.0;26.07;5.44;31.17;0.06;0.12;0.12;116.0115;4056.608;0.81;55.279064;170500.0
2772;2773.0;165.0;W;12000.0;15.5;12.5;2.0;31.26;9.11;47.83;0.07;0.12;0.12;139.107;6793.327;0.81;47.382053;186000.0
2773;2884.0;174.0;F;7000.0;15.0;12.0;2.0;9.1;2.2;19.77;0.1;0.12;0.11;40.495;1640.54;0.8;33.16744;105000.0
2774;2885.0;174.0;F;8000.0;15.0;12.0;2.0;12.12;3.94;31.07;0.13;0.12;0.11;53.934;2938.058;0.8;25.513414;120000.0
2775;2886.0;174.0;F;9000.0;15.0;12.0;2.0;15.33;5.62;39.36;0.13;0.12;0.11;68.2185;4190.834;0.8;25.513414;135000.0
2776;2892.0;175.0;W;1000.0;15.0;12.0;2.0;0.19;0.01;0.25;0.06;0.12;0.11;0.8455;7.457;0.8;55.279064;15000.0
2777;2893.0;175.0;W;2000.0;15.0;12.0;2.0;0.78;0.03;0.99;0.06;0.12;0.11;3.471;22.371;0.8;55.279064;30000.0
2778;2894.0;175.0;W;3000.0;15.0;12.0;2.0;1.75;0.1;2.02;0.06;0.12;0.11;7.7875;74.57;0.8;55.279064;45000.0
2779;2895.0;175.0;W;4000.0;15.0;12.0;2.0;3.17;0.31;4.93;0.08;0.12;0.11;14.1065;231.167;0.8;41.459297;60000.0
2780;2896.0;175.0;W;5000.0;15.0;12.0;2.0;5.14;0.96;12.11;0.13;0.13;0.11;22.873;715.872;0.8;28.768137;75000.0
2781;2897.0;175.0;W;6000.0;15.0;12.0;2.0;7.64;2.19;23.04;0.17;0.13;0.11;33.998;1633.083;0.8;21.999163;90000.0
2782;2783.0;166.0;W;10000.0;15.5;12.0;2.0;21.56;4.03;25.42;0.06;0.12;0.12;95.942;3005.171;0.77;55.279064;155000.0
2783;2784.0;166.0;W;11000.0;15.5;12.0;2.0;26.07;5.34;30.61;0.06;0.12;0.12;116.0115;3982.038;0.77;55.279064;170500.0
2784;2785.0;166.0;W;12000.0;15.5;12.0;2.0;31.24;8.86;46.51;0.07;0.12;0.12;139.018;6606.902;0.77;47.382053;186000.0
2785;2786.0;166.0;W;13000.0;15.5;12.0;2.0;37.38;17.53;84.97;0.11;0.12;0.12;166.341;13072.121;0.77;30.152216;201500.0
2786;2898.0;175.0;W;7000.0;15.0;12.0;2.0;10.69;4.29;38.59;0.2;0.14;0.11;47.5705;3199.053;0.8;20.897875;105000.0
2787;2899.0;175.0;W;8000.0;15.0;12.0;2.0;13.5;5.05;39.79;0.16;0.13;0.11;60.075;3765.785;0.8;23.374111;120000.0
2788;2900.0;175.0;W;9000.0;15.0;12.0;2.0;16.51;5.24;36.67;0.12;0.13;0.11;73.4695;3907.468;0.8;31.165482;135000.0
2789;2906.0;176.0;;1000.0;15.0;13.0;2.0;0.18;0.01;0.23;0.06;0.11;0.11;0.801;7.457;0.87;48.5152;15000.0
2790;2907.0;176.0;;2000.0;15.0;13.0;2.0;0.7;0.03;0.9;0.06;0.11;0.11;3.115;22.371;0.87;48.5152;30000.0
2791;2908.0;176.0;;3000.0;15.0;13.0;2.0;1.58;0.09;1.87;0.05;0.11;0.11;7.031;67.113;0.87;58.218243;45000.0
2792;2909.0;176.0;;4000.0;15.0;13.0;2.0;2.81;0.22;3.5;0.06;0.11;0.11;12.5045;164.054;0.87;48.5152;60000.0
2793;2910.0;176.0;;5000.0;15.0;13.0;2.0;4.59;0.84;10.57;0.11;0.11;0.11;20.4255;626.388;0.87;26.462837;75000.0
2794;2911.0;176.0;;6000.0;15.0;13.0;2.0;6.86;2.06;21.63;0.16;0.12;0.11;30.527;1536.142;0.87;20.729649;90000.0
2795;2796.0;167.0;N;10000.0;15.5;13.0;2.0;18.4;11.92;75.14;0.17;0.1;0.12;81.88;8888.744;0.84;14.841956;155000.0
2796;2797.0;167.0;N;11000.0;15.5;13.0;2.0;21.55;12.22;70.0;0.13;0.1;0.12;95.8975;9112.454;0.84;19.408712;170500.0
2797;2798.0;167.0;N;12000.0;15.5;13.0;2.0;24.91;12.21;64.11;0.1;0.09;0.12;110.8495;9104.997;0.84;21.542883;186000.0
2798;2799.0;167.0;N;13000.0;15.5;13.0;2.0;28.69;12.66;61.36;0.08;0.09;0.12;127.6705;9440.562;0.84;26.928604;201500.0
2799;2800.0;167.0;N;13999.0;15.5;13.0;2.0;34.01;22.36;100.66;0.11;0.09;0.12;151.3445;16673.852;0.84;19.584438;216984.5
2800;2801.0;168.0;;1000.0;15.75;13.0;3.0;0.32;0.01;0.45;0.09;0.16;0.13;1.424;7.457;0.83;56.738457;15750.0
2801;2802.0;168.0;;2000.0;15.75;13.0;3.0;1.26;0.06;1.79;0.09;0.16;0.13;5.607;44.742;0.83;56.738457;31500.0
2802;2803.0;168.0;;3000.0;15.75;13.0;3.0;2.83;0.18;3.73;0.08;0.16;0.13;12.5935;134.226;0.83;63.830765;47250.0
2803;2804.0;168.0;;4000.0;15.75;13.0;3.0;5.09;0.5;7.83;0.1;0.16;0.13;22.6505;372.85;0.83;51.064613;63000.0
2804;2805.0;168.0;;5000.0;15.75;13.0;3.0;8.29;1.57;19.84;0.16;0.17;0.13;36.8905;1170.749;0.83;34.953724;78750.0
2805;2806.0;168.0;;6000.0;15.75;13.0;3.0;12.37;3.65;38.37;0.22;0.18;0.13;55.0465;2721.805;0.83;27.696579;94500.0
2806;2807.0;168.0;;7000.0;15.75;13.0;3.0;17.39;7.24;65.16;0.27;0.18;0.13;77.3855;5398.868;0.83;22.567583;110250.0
2807;2808.0;168.0;;8000.0;15.75;13.0;3.0;22.45;10.15;79.95;0.25;0.18;0.13;99.9025;7568.855;0.83;24.37299;126000.0
2808;2809.0;168.0;;9000.0;15.75;13.0;3.0;27.39;11.17;78.2;0.2;0.17;0.13;121.8855;8329.469;0.83;27.96298;141750.0
2809;2810.0;168.0;;10000.0;15.75;13.0;3.0;32.58;10.77;67.89;0.14;0.17;0.13;144.981;8031.189;0.83;39.947113;157500.0
2810;2811.0;168.0;;11000.0;15.75;13.0;3.0;38.24;9.77;55.98;0.09;0.16;0.13;170.168;7285.489;0.83;56.738457;173250.0
2811;2912.0;176.0;;7000.0;15.0;13.0;2.0;9.63;4.18;37.62;0.2;0.12;0.11;42.8535;3117.026;0.87;16.58372;105000.0
2812;2913.0;176.0;;8000.0;15.0;13.0;2.0;12.7;6.69;52.68;0.21;0.12;0.11;56.515;4988.733;0.87;15.794018;120000.0
2813;2914.0;176.0;;9000.0;15.0;13.0;2.0;15.49;7.35;51.47;0.17;0.12;0.11;68.9305;5480.895;0.87;19.510258;135000.0
2814;2932.0;178.0;N;1000.0;15.0;13.0;2.0;0.15;0.01;0.19;0.05;0.09;0.11;0.6675;7.457;0.87;43.085766;15000.0
2815;2933.0;178.0;N;2000.0;15.0;13.0;2.0;0.6;0.03;0.78;0.05;0.09;0.11;2.67;22.371;0.87;43.085766;30000.0
2816;2934.0;178.0;N;3000.0;15.0;13.0;2.0;1.34;0.08;1.7;0.05;0.09;0.11;5.963;59.656;0.87;43.085766;45000.0
2817;2935.0;178.0;N;4000.0;15.0;13.0;2.0;2.38;0.17;2.69;0.04;0.09;0.11;10.591;126.769;0.87;53.85721;60000.0
2818;2936.0;178.0;N;5000.0;15.0;13.0;2.0;3.78;0.48;6.08;0.06;0.09;0.11;16.821;357.936;0.87;35.904804;75000.0
2819;2937.0;178.0;N;6000.0;15.0;13.0;2.0;5.67;1.44;15.13;0.11;0.1;0.11;25.2315;1073.808;0.87;22.937569;90000.0
2820;2821.0;169.0;;10000.0;15.0;10.0;2.0;18.02;5.03;31.72;0.08;0.11;0.11;80.189;3750.871;0.67;36.386402;150000.0
2821;2822.0;169.0;;11000.0;15.0;10.0;2.0;21.33;4.59;26.3;0.06;0.11;0.11;94.9185;3422.763;0.67;48.5152;165000.0
2822;2823.0;169.0;;12000.0;15.0;10.0;2.0;25.31;6.17;32.42;0.06;0.11;0.11;112.6295;4600.969;0.67;48.5152;180000.0
2823;2824.0;169.0;;13000.0;15.0;10.0;2.0;29.75;8.08;39.19;0.06;0.11;0.11;132.3875;6025.256;0.67;48.5152;195000.0
2824;5255.0;333.0;E;10000.0;4.0;4.0;3.0;0.23;0.02;0.1;0.2;0.28;0.01;1.0235;14.914;1.0;52.3832;40000.0
2825;5256.0;333.0;E;11000.0;4.0;4.0;3.0;0.27;0.02;0.12;0.2;0.28;0.01;1.2015;14.914;1.0;52.3832;44000.0
2826;5257.0;333.0;E;12000.0;4.0;4.0;3.0;0.33;0.03;0.15;0.2;0.28;0.01;1.4685;22.371;1.0;52.3832;48000.0
2827;5258.0;333.0;E;13000.0;4.0;4.0;3.0;0.38;0.04;0.17;0.2;0.28;0.01;1.691;29.828;1.0;52.3832;52000.0
2828;5259.0;333.0;E;14000.0;4.0;4.0;3.0;0.44;0.05;0.2;0.2;0.28;0.01;1.958;37.285;1.0;52.3832;56000.0
2829;5260.0;333.0;E;15000.0;4.0;4.0;3.0;0.51;0.06;0.23;0.2;0.28;0.01;2.2695;44.742;1.0;52.3832;60000.0
2830;5261.0;333.0;E;16000.0;4.0;4.0;3.0;0.58;0.07;0.26;0.2;0.28;0.01;2.581;52.199;1.0;52.3832;64000.0
2831;5262.0;333.0;E;17000.0;4.0;4.0;3.0;0.66;0.08;0.3;0.2;0.28;0.01;2.937;59.656;1.0;52.3832;68000.0
2832;5263.0;333.0;E;18000.0;4.0;4.0;3.0;0.74;0.09;0.33;0.2;0.28;0.01;3.293;67.113;1.0;52.3832;72000.0
2833;5264.0;333.0;E;19000.0;4.0;4.0;3.0;0.82;0.11;0.37;0.2;0.28;0.01;3.649;82.027;1.0;52.3832;76000.0
2834;5265.0;333.0;E;20000.0;4.0;4.0;3.0;0.91;0.13;0.41;0.2;0.28;0.01;4.0495;96.941;1.0;52.3832;80000.0
2835;5266.0;333.0;E;21000.0;4.0;4.0;3.0;1.0;0.15;0.45;0.2;0.28;0.01;4.45;111.855;1.0;52.3832;84000.0
2836;5781.0;347.0;E;24000.0;5.0;4.0;3.0;3.05;0.65;1.7;0.19;0.27;0.01;13.5725;484.705;0.8;52.212807;120000.0
2837;5780.0;347.0;E;23000.0;5.0;4.0;3.0;2.78;0.54;1.47;0.18;0.26;0.01;12.371;402.678;0.8;52.080185;115000.0
2838;2938.0;178.0;N;7000.0;15.0;13.0;2.0;7.98;3.17;28.56;0.15;0.1;0.11;35.511;2363.869;0.87;16.820883;105000.0
2839;2840.0;171.0;;1000.0;15.0;11.0;4.0;0.28;0.01;0.36;0.1;0.18;0.11;1.246;7.457;0.73;60.932476;15000.0
2840;2841.0;171.0;;2000.0;15.0;11.0;4.0;1.14;0.05;1.46;0.1;0.18;0.11;5.073;37.285;0.73;60.932476;30000.0
2841;2842.0;171.0;;3000.0;15.0;11.0;4.0;2.56;0.15;3.22;0.1;0.18;0.11;11.392;111.855;0.73;60.932476;45000.0
2842;2843.0;171.0;;4000.0;15.0;11.0;4.0;4.53;0.34;5.4;0.09;0.18;0.11;20.1585;253.538;0.73;67.70275;60000.0
2843;2844.0;171.0;;5000.0;15.0;11.0;4.0;7.16;0.8;10.05;0.11;0.18;0.11;31.862;596.56;0.73;55.393158;75000.0
2844;2845.0;171.0;;6000.0;15.0;11.0;4.0;10.6;1.92;20.14;0.15;0.19;0.11;47.17;1431.744;0.73;44.053375;90000.0
2845;2846.0;171.0;;7000.0;15.0;11.0;4.0;14.78;3.86;34.71;0.19;0.19;0.11;65.771;2878.402;0.73;34.77898;105000.0
2846;2847.0;171.0;;8000.0;15.0;11.0;4.0;19.75;6.99;55.1;0.23;0.2;0.11;87.8875;5212.443;0.73;31.028246;120000.0
2847;2848.0;171.0;;9000.0;15.0;11.0;4.0;25.56;11.8;82.64;0.27;0.2;0.11;113.742;8799.26;0.73;26.431469;135000.0
2848;2849.0;171.0;;10000.0;15.0;11.0;4.0;30.93;14.36;90.48;0.24;0.2;0.11;137.6385;10708.252;0.73;29.735401;150000.0
2849;2850.0;171.0;;11000.0;15.0;11.0;4.0;36.55;16.23;92.97;0.21;0.19;0.11;162.6475;12102.711;0.73;31.466698;165000.0
2850;2851.0;171.0;;12000.0;15.0;11.0;4.0;42.8;20.06;105.36;0.2;0.19;0.11;190.46;14958.742;0.73;33.04003;180000.0
2851;2939.0;178.0;N;8000.0;15.0;13.0;2.0;10.76;6.03;47.47;0.19;0.1;0.11;47.882;4496.571;0.87;13.279645;120000.0
2852;2940.0;178.0;N;9000.0;15.0;13.0;2.0;14.03;10.42;72.96;0.23;0.11;0.11;62.4335;7770.194;0.87;12.656139;135000.0
2853;2959.0;180.0;;1000.0;15.0;14.0;2.0;0.18;0.01;0.24;0.06;0.11;0.11;0.801;7.457;0.93;48.5152;15000.0
2854;2960.0;180.0;;2000.0;15.0;14.0;2.0;0.7;0.03;0.96;0.06;0.11;0.11;3.115;22.371;0.93;48.5152;30000.0
2855;2961.0;180.0;;3000.0;15.0;14.0;2.0;1.58;0.09;1.96;0.06;0.11;0.11;7.031;67.113;0.93;48.5152;45000.0
2856;2962.0;180.0;;4000.0;15.0;14.0;2.0;2.81;0.23;3.7;0.06;0.11;0.11;12.5045;171.511;0.93;48.5152;60000.0
2857;2963.0;180.0;;5000.0;15.0;14.0;2.0;4.61;0.93;11.66;0.12;0.11;0.11;20.5145;693.501;0.93;24.2576;75000.0
2858;2964.0;180.0;;6000.0;15.0;14.0;2.0;6.92;2.29;24.09;0.17;0.12;0.11;30.794;1707.653;0.93;19.510258;90000.0
2859;2965.0;180.0;;7000.0;15.0;14.0;2.0;9.76;4.67;42.08;0.22;0.12;0.11;43.432;3482.419;0.93;15.076108;105000.0
2860;2861.0;172.0;;10000.0;15.0;11.0;2.0;18.14;5.76;36.28;0.09;0.11;0.11;80.723;4295.232;0.73;32.343468;150000.0
2861;2862.0;172.0;;11000.0;15.0;11.0;2.0;21.35;4.95;28.37;0.06;0.11;0.11;95.0075;3691.215;0.73;48.5152;165000.0
2862;2863.0;172.0;;12000.0;15.0;11.0;2.0;25.31;6.65;34.9;0.06;0.11;0.11;112.6295;4958.905;0.73;48.5152;180000.0
2863;2966.0;180.0;;8000.0;15.0;14.0;2.0;12.88;7.49;59.03;0.24;0.12;0.11;57.316;5585.293;0.93;13.819766;120000.0
2864;2967.0;180.0;;9000.0;15.0;14.0;2.0;15.62;8.16;57.17;0.18;0.12;0.11;69.509;6084.912;0.93;18.426355;135000.0
2865;2973.0;181.0;N;1000.0;15.0;14.0;2.0;0.15;0.01;0.2;0.05;0.09;0.11;0.6675;7.457;0.93;43.085766;15000.0
2866;2974.0;181.0;N;2000.0;15.0;14.0;2.0;0.6;0.03;0.8;0.05;0.09;0.11;2.67;22.371;0.93;43.085766;30000.0
2867;2975.0;181.0;N;3000.0;15.0;14.0;2.0;1.35;0.08;1.74;0.05;0.09;0.11;6.0075;59.656;0.93;43.085766;45000.0
2868;2976.0;181.0;N;4000.0;15.0;14.0;2.0;2.38;0.17;2.74;0.04;0.09;0.11;10.591;126.769;0.93;53.85721;60000.0
2869;2977.0;181.0;N;5000.0;15.0;14.0;2.0;3.79;0.5;6.33;0.07;0.09;0.11;16.8655;372.85;0.93;30.775547;75000.0
2870;2978.0;181.0;N;6000.0;15.0;14.0;2.0;5.7;1.53;16.03;0.12;0.1;0.11;25.365;1140.921;0.93;21.026104;90000.0
2871;2979.0;181.0;N;7000.0;15.0;14.0;2.0;8.05;3.37;30.36;0.16;0.1;0.11;35.8225;2513.009;0.93;15.769578;105000.0
2872;2873.0;173.0;;10000.0;15.0;12.0;2.0;18.27;6.47;40.77;0.11;0.11;0.11;81.3015;4824.679;0.8;26.462837;150000.0
2873;2874.0;173.0;;11000.0;15.0;12.0;2.0;21.39;5.31;30.43;0.07;0.11;0.11;95.1855;3959.667;0.8;41.584457;165000.0
2874;2875.0;173.0;;12000.0;15.0;12.0;2.0;25.34;7.14;37.51;0.07;0.11;0.11;112.763;5324.298;0.8;41.584457;180000.0
2875;2876.0;173.0;;13000.0;15.0;12.0;2.0;29.72;8.59;41.65;0.06;0.11;0.11;132.254;6405.563;0.8;48.5152;195000.0
2876;2877.0;173.0;;15000.0;15.0;12.0;2.0;40.83;23.55;98.95;0.11;0.11;0.11;181.6935;17561.234;0.8;26.462837;225000.0
2877;2980.0;181.0;N;8000.0;15.0;14.0;2.0;10.88;6.43;50.64;0.21;0.11;0.11;48.416;4794.851;0.93;13.861486;120000.0
2878;2981.0;181.0;N;9000.0;15.0;14.0;2.0;14.21;11.13;77.93;0.25;0.11;0.11;63.2345;8299.641;0.93;11.643648;135000.0
2879;2987.0;182.0;E;1000.0;15.0;4.0;2.0;0.1;0.01;0.07;0.02;0.06;0.11;0.445;7.457;0.27;51.961525;15000.0
2880;2988.0;182.0;E;2000.0;15.0;4.0;2.0;0.4;0.01;0.29;0.02;0.06;0.11;1.78;7.457;0.27;51.961525;30000.0
2881;2989.0;182.0;E;3000.0;15.0;4.0;2.0;0.89;0.03;0.65;0.02;0.06;0.11;3.9605;22.371;0.27;51.961525;45000.0
2882;2990.0;182.0;E;4000.0;15.0;4.0;2.0;1.59;0.07;1.1;0.02;0.06;0.11;7.0755;52.199;0.27;51.961525;60000.0
2883;2991.0;182.0;E;5000.0;15.0;4.0;2.0;2.49;0.13;1.65;0.02;0.06;0.11;11.0805;96.941;0.27;51.961525;75000.0
2884;2992.0;182.0;E;6000.0;15.0;4.0;2.0;3.62;0.23;2.39;0.02;0.06;0.11;16.109;171.511;0.27;51.961525;90000.0
2885;2993.0;182.0;E;7000.0;15.0;4.0;2.0;4.98;0.37;3.28;0.02;0.06;0.11;22.161;275.909;0.27;51.961525;105000.0
2886;2887.0;174.0;F;10000.0;15.0;12.0;2.0;18.57;6.44;40.6;0.11;0.12;0.11;82.6365;4802.308;0.8;30.152216;150000.0
2887;2888.0;174.0;F;11000.0;15.0;12.0;2.0;22.04;6.85;39.26;0.08;0.11;0.11;98.078;5108.045;0.8;36.386402;165000.0
2888;2889.0;174.0;F;12000.0;15.0;12.0;2.0;25.73;6.6;34.65;0.06;0.11;0.11;114.4985;4921.62;0.8;48.5152;180000.0
2889;2890.0;174.0;F;13000.0;15.0;12.0;2.0;30.11;9.24;44.78;0.07;0.11;0.11;133.9895;6890.268;0.8;41.584457;195000.0
2890;2891.0;174.0;F;13999.0;15.0;12.0;2.0;35.12;13.42;60.4;0.08;0.11;0.11;156.284;10007.294;0.8;36.386402;209985.0
2891;2994.0;182.0;E;8000.0;15.0;4.0;2.0;6.59;0.55;4.35;0.02;0.06;0.11;29.3255;410.135;0.27;51.961525;120000.0
2892;2995.0;182.0;E;9000.0;15.0;4.0;2.0;8.46;0.8;5.6;0.02;0.06;0.11;37.647;596.56;0.27;51.961525;135000.0
2893;3002.0;183.0;W;1000.0;15.0;4.0;2.0;0.12;0.01;0.1;0.03;0.08;0.11;0.534;7.457;0.27;60.18022;15000.0
2894;3003.0;183.0;W;2000.0;15.0;4.0;2.0;0.49;0.01;0.42;0.03;0.08;0.11;2.1805;7.457;0.27;60.18022;30000.0
2895;3004.0;183.0;W;3000.0;15.0;4.0;2.0;1.1;0.04;0.86;0.02;0.08;0.11;4.895;29.828;0.27;90.27033;45000.0
2896;3005.0;183.0;W;4000.0;15.0;4.0;2.0;1.97;0.09;1.48;0.02;0.08;0.11;8.7665;67.113;0.27;90.27033;60000.0
2897;3006.0;183.0;W;5000.0;15.0;4.0;2.0;3.09;0.18;2.28;0.02;0.08;0.11;13.7505;134.226;0.27;90.27033;75000.0
2898;3007.0;183.0;W;6000.0;15.0;4.0;2.0;4.49;0.31;3.26;0.02;0.08;0.11;19.9805;231.167;0.27;90.27033;90000.0
2899;3008.0;183.0;W;7000.0;15.0;4.0;2.0;6.17;0.5;4.45;0.02;0.08;0.11;27.4565;372.85;0.27;90.27033;105000.0
2900;2901.0;175.0;W;10000.0;15.0;12.0;2.0;19.7;4.5;28.36;0.07;0.12;0.11;87.665;3355.65;0.8;47.382053;150000.0
2901;2902.0;175.0;W;11000.0;15.0;12.0;2.0;23.55;4.68;26.82;0.06;0.12;0.11;104.7975;3489.876;0.8;55.279064;165000.0
2902;2903.0;175.0;W;12000.0;15.0;12.0;2.0;28.2;8.2;43.08;0.08;0.12;0.11;125.49;6114.74;0.8;41.459297;180000.0
2903;2904.0;175.0;W;13000.0;15.0;12.0;2.0;33.22;10.66;51.69;0.08;0.12;0.11;147.829;7949.162;0.8;41.459297;195000.0
2904;2905.0;175.0;W;13999.0;15.0;12.0;2.0;38.72;14.99;67.46;0.09;0.12;0.11;172.304;11178.043;0.8;36.85271;209985.0
2905;3009.0;183.0;W;8000.0;15.0;4.0;2.0;8.16;0.75;5.9;0.02;0.08;0.11;36.312;559.275;0.27;90.27033;120000.0
2906;3010.0;183.0;W;9000.0;15.0;4.0;2.0;10.49;1.09;7.6;0.02;0.08;0.11;46.6805;812.813;0.27;90.27033;135000.0
2907;3017.0;184.0;MR;2000.0;15.0;5.5;2.0;0.61;0.02;0.52;0.03;0.1;0.11;2.7145;14.914;0.37;84.104416;30000.0
2908;3018.0;184.0;MR;3000.0;15.0;5.5;2.0;1.38;0.06;1.15;0.03;0.1;0.11;6.141;44.742;0.37;84.104416;45000.0
2909;3019.0;184.0;MR;4000.0;15.0;5.5;2.0;2.46;0.13;1.98;0.03;0.1;0.11;10.947;96.941;0.37;84.104416;60000.0
2910;3020.0;184.0;MR;5000.0;15.0;5.5;2.0;3.88;0.26;3.27;0.03;0.1;0.11;17.266;193.882;0.37;84.104416;75000.0
2911;3021.0;184.0;MR;6000.0;15.0;5.5;2.0;5.65;0.47;4.97;0.04;0.1;0.11;25.1425;350.479;0.37;63.078312;90000.0
2912;3022.0;184.0;MR;7000.0;15.0;5.5;2.0;7.79;0.79;7.14;0.04;0.1;0.11;34.6655;589.103;0.37;63.078312;105000.0
2913;3023.0;184.0;MR;8000.0;15.0;5.5;2.0;10.32;1.25;9.86;0.04;0.1;0.11;45.924;932.125;0.37;63.078312;120000.0
2914;2915.0;176.0;;10000.0;15.0;13.0;2.0;18.43;7.18;45.28;0.12;0.11;0.11;82.0135;5354.126;0.87;24.2576;150000.0
2915;2916.0;176.0;;11000.0;15.0;13.0;2.0;21.48;5.62;32.18;0.07;0.11;0.11;95.586;4190.834;0.87;41.584457;165000.0
2916;2917.0;176.0;;12000.0;15.0;13.0;2.0;25.25;5.78;30.38;0.05;0.11;0.11;112.3625;4310.146;0.87;58.218243;180000.0
2917;2918.0;176.0;;13999.0;15.0;13.0;2.0;34.82;13.65;61.42;0.08;0.11;0.11;154.949;10178.805;0.87;36.386402;209985.0
2918;2919.0;177.0;;1000.0;15.0;13.0;3.0;0.23;0.01;0.31;0.08;0.14;0.11;1.0235;7.457;0.87;52.244686;15000.0
2919;2920.0;177.0;;2000.0;15.0;13.0;3.0;0.91;0.04;1.24;0.08;0.14;0.11;4.0495;29.828;0.87;52.244686;30000.0
2920;2921.0;177.0;;3000.0;15.0;13.0;3.0;2.04;0.13;2.69;0.08;0.14;0.11;9.078;96.941;0.87;52.244686;45000.0
2921;2922.0;177.0;;4000.0;15.0;13.0;3.0;3.61;0.28;4.35;0.07;0.14;0.11;16.0645;208.796;0.87;59.708214;60000.0
