;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
5216;5479.0;339.0;E;22000.0;5.5;4.5;2.0;1.68;0.26;0.75;0.06;0.12;0.02;7.476;193.882;0.82;48.989796;121000.0
5217;5480.0;339.0;E;23000.0;5.5;4.5;2.0;1.84;0.3;0.81;0.06;0.12;0.02;8.188;223.71;0.82;48.989796;126500.0
5218;5481.0;339.0;E;24000.0;5.5;4.5;2.0;2.0;0.34;0.88;0.06;0.12;0.02;8.9;253.538;0.82;48.989796;132000.0
5219;5482.0;339.0;E;25000.0;5.5;4.5;2.0;2.17;0.38;0.95;0.06;0.12;0.02;9.6565;283.366;0.82;48.989796;137500.0
5220;5514.0;340.0;E;23000.0;5.5;6.5;2.0;1.86;0.37;1.0;0.07;0.12;0.02;8.277;275.909;1.18;41.991253;126500.0
5221;5497.0;340.0;E;6000.0;5.5;6.5;2.0;0.13;0.01;0.07;0.08;0.12;0.02;0.5785;7.457;1.18;36.742348;33000.0
5222;5498.0;340.0;E;7000.0;5.5;6.5;2.0;0.17;0.01;0.1;0.08;0.12;0.02;0.7565;7.457;1.18;36.742348;38500.0
5223;5499.0;340.0;E;8000.0;5.5;6.5;2.0;0.23;0.02;0.13;0.08;0.12;0.02;1.0235;14.914;1.18;36.742348;44000.0
5224;5500.0;340.0;E;9000.0;5.5;6.5;2.0;0.29;0.02;0.17;0.08;0.12;0.02;1.2905;14.914;1.18;36.742348;49500.0
5225;5501.0;340.0;E;10000.0;5.5;6.5;2.0;0.35;0.03;0.2;0.08;0.12;0.02;1.5575;22.371;1.18;36.742348;55000.0
5226;5502.0;340.0;E;11000.0;5.5;6.5;2.0;0.43;0.04;0.25;0.08;0.12;0.02;1.9135;29.828;1.18;36.742348;60500.0
5227;5503.0;340.0;E;12000.0;5.5;6.5;2.0;0.51;0.06;0.3;0.08;0.12;0.02;2.2695;44.742;1.18;36.742348;66000.0
5228;6387.0;364.0;E;25000.0;6.0;5.5;2.0;3.09;0.69;1.75;0.07;0.12;0.02;13.7505;514.533;0.92;41.991253;150000.0
5229;5504.0;340.0;E;13000.0;5.5;6.5;2.0;0.6;0.07;0.35;0.08;0.12;0.02;2.67;52.199;1.18;36.742348;71500.0
