TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*
AXI;AXI 5325/24 GOLD LINE;232;14;1.7;0.045;575;75;10;37;55;91;0.04116;2.194;90;822.22;37.39;91.11;0.07;3.087057086;;734.7578;0.0393;0.073214816
AXI;AXI 5345/18HD GOLD LINE;171;14;1.6;0.042;995;75;12;44.4;63;94;0.05584;3.429;92;1057.14;41.13;92.37;0.0894;4.188287976;;954.3521;0.0468;0.09509626
SCORPION;Scorpion S-1804-1650KV;1650;12;0.25;0.4;12;5;9;33.3;;;0.005787452;0.027;89.29429429;83.25;4.562071898;89.34036781;0.001446863;0.028937262;;12.43180064;0.202803226;0.001498926
SCORPION;Scorpion S-1805-2250KV;2250;12;0.25;0.4;16;7;9;33.3;;;0.004244132;0.029;88.32046332;83.25;4.562071898;89.34036781;0.001061033;0.029708923;;22.5534118;0.105390712;0.002719308
SCORPION;?Scorpion SII-2205-1900KV (V2);1900;14;0.58;0.128;35.4;12;12;44.4;;;0.005025946;0.057;91.87441441;346.875;14.18405795;91.98901163;0.002915048;0.060311347;;22.56014001;0.15136836;0.00272012
SCORPION;?Scorpion SII-2205-1585KV (V2);1585;14;0.47;0.182;35.4;10;12;44.4;;;0.006024793;0.057;91.39355856;243.956044;10.70791019;91.41410065;0.002831653;0.060247928;;23.89450427;0.155642206;0.002881006
SCORPION;Scorpion SII-2205-1490KV (V2);1490;14;0.42;0.188;35.4;10;12;44.4;;;0.006408924;0.061;91.7436036;236.1702128;9.959492425;91.74367308;0.002691748;0.064089239;;36.48925811;0.14101637;0.00439958
SCORPION;?Scorpion SII-2208-1100KV (V2);1100;14;0.41;0.17;45;12;12;44.4;;;0.008681179;0.101;92.14572072;261.1764706;10.34806035;92.23279163;0.003559283;0.104174145;;36.59000993;0.103666668;0.004411728
SCORPION;?Scorpion SII-2208-1280KV (V2);1280;14;0.47;0.15;45;14;12;44.4;;;0.007460388;0.101;92.0719112;296;11.79491416;92.18924719;0.003506382;0.104445431;;47.1986259;0.141871281;0.005690829
SCORPION;?Scorpion SII-2212-885KV (V2);885;14;0.41;0.151;58;13;12;44.4;;;0.010790166;0.136;92.56441961;294.0397351;10.9798129;92.67118582;0.004423968;0.140272153;;43.71995526;0.136979205;0.005271399
