LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
1308;70;NULL;3000;12;12;2;0.69;0.04;0.8;0.07;0.12;0.07;3.0705;29.828;1;47.38205478;36000
1309;70;NULL;4000;12;12;2;1.22;0.09;1.34;0.07;0.12;0.07;5.429;67.113;1;47.38205478;48000
1310;70;NULL;5000;12;12;2;1.89;0.15;1.91;0.06;0.11;0.07;8.4105;111.855;1;48.51520143;60000
1272;67;NULL;12000;12;11;2;12.33;8.02;42.12;0.23;0.13;0.07;54.8685;5980.514;0.92;16.26025132;144000
1273;67;NULL;13000;12;11;2;14.08;8.58;41.59;0.2;0.13;0.07;62.656;6398.106;0.92;18.69928902;156000
1274;67;NULL;13999;12;11;2;15.92;8.87;39.92;0.16;0.12;0.07;70.844;6614.359;0.92;20.72964897;167988
1275;67;NULL;15000;12;11;2;17.76;9.65;40.53;0.14;0.12;0.07;79.032;7196.005;0.92;23.69102739;180000
1276;67;NULL;17000;12;11;2;22.48;11.83;43.84;0.12;0.12;0.07;100.036;8821.631;0.92;27.63953196;204000
1311;70;NULL;6000;12;12;2;2.78;0.35;3.68;0.08;0.12;0.07;12.371;260.995;1;41.45929794;72000
1312;70;NULL;7000;12;12;2;3.94;0.92;8.31;0.13;0.12;0.07;17.533;686.044;1;25.51341411;84000
1313;70;NULL;8000;12;12;2;5.33;1.88;14.78;0.18;0.13;0.07;23.7185;1401.916;1;20.7769878;96000
1314;70;NULL;9000;12;12;2;6.96;3.35;23.42;0.23;0.13;0.07;30.972;2498.095;1;16.26025132;108000
1315;70;NULL;10000;12;12;2;8.86;5.51;34.74;0.28;0.13;0.07;39.427;4108.807;1;13.35663502;120000
1316;70;NULL;11000;12;12;2;11.03;8.56;49.05;0.32;0.14;0.07;49.0835;6383.192;1;13.06117164;132000
1321;71;NULL;1000;12;12.5;2;0.08;0.01;0.09;0.07;0.12;0.07;0.356;7.457;1.04;47.38205478;12000
1322;71;NULL;2000;12;12.5;2;0.31;0.01;0.36;0.07;0.12;0.07;1.3795;7.457;1.04;47.38205478;24000
1323;71;NULL;3000;12;12.5;2;0.69;0.04;0.82;0.07;0.12;0.07;3.0705;29.828;1.04;47.38205478;36000
1324;71;NULL;4000;12;12.5;2;1.22;0.09;1.36;0.07;0.12;0.07;5.429;67.113;1.04;47.38205478;48000
1287;68;NULL;12000;12;11.5;2;12.42;8.4;44.13;0.24;0.13;0.07;55.269;6263.88;0.96;15.58274085;144000
1288;68;NULL;13000;12;11.5;2;14.17;8.96;43.45;0.2;0.13;0.07;63.0565;6681.472;0.96;18.69928902;156000
1289;68;NULL;13999;12;11.5;2;15.98;9.15;41.17;0.17;0.12;0.07;71.111;6823.155;0.96;19.51025785;167988
1290;68;NULL;16000;12;11.5;2;19.91;9.19;36.22;0.11;0.12;0.07;88.5995;6852.983;0.96;30.15221668;192000
1325;71;NULL;5000;12;12.5;2;1.89;0.15;1.94;0.06;0.11;0.07;8.4105;111.855;1.04;48.51520143;60000
1326;71;NULL;6000;12;12.5;2;2.78;0.36;3.78;0.08;0.12;0.07;12.371;268.452;1.04;41.45929794;72000
1327;71;NULL;7000;12;12.5;2;3.94;0.95;8.6;0.14;0.12;0.07;17.533;708.415;1.04;23.69102739;84000
1328;71;NULL;8000;12;12.5;2;5.34;1.95;15.37;0.19;0.13;0.07;23.763;1454.115;1.04;19.68346213;96000
1329;71;NULL;9000;12;12.5;2;6.99;3.49;24.42;0.24;0.13;0.07;31.1055;2602.493;1.04;15.58274085;108000
1330;71;NULL;10000;12;12.5;2;8.91;5.74;36.17;0.29;0.13;0.07;39.6495;4280.318;1.04;12.8960614;120000
1331;71;NULL;11000;12;12.5;2;11.1;8.91;51.05;0.33;0.14;0.07;49.395;6644.187;1.04;12.66537856;132000
1341;72;E;6000;12;12;2;2.51;0.23;2.42;0.05;0.11;0.07;11.1695;171.511;1;51.59457336;72000
1342;72;E;7000;12;12;2;3.4;0.35;3.13;0.05;0.11;0.07;15.13;260.995;1;51.59457336;84000
1336;72;E;1000;12;12;2;0.07;0.01;0.08;0.06;0.11;0.07;0.3115;7.457;1;42.9954778;12000
1337;72;E;2000;12;12;2;0.28;0.01;0.31;0.06;0.11;0.07;1.246;7.457;1;42.9954778;24000
1302;69;N;12000;12;11;2;11.86;8.76;45.99;0.25;0.12;0.07;52.777;6532.332;0.92;13.26697534;144000
1303;69;N;13000;12;11;2;13.57;9.63;46.67;0.22;0.12;0.07;60.3865;7181.091;0.92;15.07610834;156000
1304;69;N;13999;12;11;2;15.37;10.4;46.81;0.19;0.12;0.07;68.3965;7755.28;0.92;17.4565465;167988
1305;69;N;15000;12;11;2;17.42;12.73;53.48;0.19;0.12;0.07;77.519;9492.761;0.92;17.4565465;180000
1338;72;E;3000;12;12;2;0.63;0.03;0.69;0.06;0.11;0.07;2.8035;22.371;1;42.9954778;36000
1339;72;E;4000;12;12;2;1.12;0.08;1.23;0.06;0.11;0.07;4.984;59.656;1;42.9954778;48000
1340;72;E;5000;12;12;2;1.75;0.14;1.8;0.06;0.11;0.07;7.7875;104.398;1;42.9954778;60000
1343;72;E;8000;12;12;2;4.61;0.93;7.3;0.09;0.11;0.07;20.5145;693.501;1;28.66365187;96000
1344;72;E;9000;12;12;2;6.02;1.87;13.07;0.13;0.11;0.07;26.789;1394.459;1;19.84406668;108000
1345;72;E;10000;12;12;2;7.65;3.27;20.63;0.16;0.12;0.07;34.0425;2438.439;1;18.37117307;120000
